 12 - ( 0, 12) - (-4.11, 12.12)
 39 - ( 2, 11) - (-1.14, 11.43)
 11 - ( 0, 11) - (-3.20, 11.43)
 50 - ( 3,  8) - (-0.69,  8.46)
 37 - ( 2,  9) - (-1.83,  9.14)
  7 - ( 0,  7) - (-3.20,  7.32)
  8 - ( 0,  8) - (-3.66,  8.69)
 18 - ( 1,  4) - (-2.74,  4.34)
 43 - ( 3,  1) - (-0.91,  1.60)
 15 - ( 1,  1) - (-2.74,  1.60)
  0 - ( 0,  0) - (-3.20,  0.00)
 56 - ( 4,  0) - ( 0.46,  0.00)
 98 - ( 7,  0) - ( 3.20,  0.46)
100 - ( 7,  2) - ( 3.66,  2.74)
103 - ( 7,  5) - ( 3.20,  5.49)
107 - ( 7,  9) - ( 3.20,  9.14)
110 - ( 7, 12) - ( 3.20, 12.34)
 94 - ( 6, 10) - ( 2.29, 10.52)
 80 - ( 5, 10) - ( 0.91, 10.52)
 96 - ( 6, 12) - ( 2.29, 12.12)
135 - ( 9,  9) - ( 5.03,  9.14)
 78 - ( 5,  8) - ( 1.37,  8.69)
133 - ( 9,  7) - ( 5.03,  6.86)
130 - ( 9,  4) - ( 5.49,  4.11)
116 - ( 8,  4) - ( 4.11,  4.11)
 73 - ( 5,  3) - ( 0.91,  3.66)
 74 - ( 5,  4) - ( 1.83,  4.57)
 72 - ( 5,  2) - ( 1.37,  2.06)
127 - ( 9,  1) - ( 5.03,  1.37)
112 - ( 8,  0) - ( 4.57, -0.23)
154 - (11,  0) - ( 7.77,  0.00)
185 - (13,  3) - ( 9.60,  3.66)
188 - (13,  6) - ( 9.60,  6.40)
190 - (13,  8) - ( 9.60,  8.23)
192 - (13, 10) - ( 9.60, 10.52)
194 - (13, 12) - ( 9.74, 11.89)
165 - (11, 11) - ( 7.32, 11.20)
161 - (11,  7) - ( 7.32,  7.54)
177 - (12,  9) - ( 8.55,  9.14)
160 - (11,  6) - ( 7.32,  6.40)
172 - (12,  4) - ( 8.23,  4.11)
170 - (12,  2) - ( 8.69,  2.06)
156 - (11,  2) - ( 7.32,  2.29)
182 - (13,  0) - ( 9.60,  0.00)
